dataset_id,original,paraphrased,sentiment,original_clean,paraphrased_clean,semantic_distance
1,just got ma heart broken ,I just had my heart shattered.,negative,just got ma heart broken,I just had my heart shattered.,0.2878214
1,"@danielstein I came back from vacation to the new EVB office, my desk was in middle of the room&amp;back to door. I have a big phobia of that ",@danielstein I returned from vacation to find the new EVB office layout had placed my desk in the center of the room with my back facing the door. That's a major fear of mine.,negative,"@danielstein I came back from vacation to the new EVB office, my desk was in middle of the room&back to door. I have a big phobia of that",@danielstein I returned from vacation to find the new EVB office layout had placed my desk in the center of the room with my back facing the door. That's a major fear of mine.,0.16330838
1,@M44DYL0V3Y0U wooot! Same with my &quot;nephew&quot; ,"@M44DYL0V3Y0U yay! My ""nephew"" is the same way",positive,"@M44DYL0V3Y0U wooot! Same with my ""nephew""","@M44DYL0V3Y0U yay! My ""nephew"" is the same way",0.09594035
1,"@getonlinenow Its a story about how success as Street Sense columnist, which I helped create, returned him to alcohol &amp; suicidal thoughts ","@getonlinenow It's a narrative about how becoming successful as a Street Sense columnist, something I helped establish, led him back to alcohol and thoughts of suicide",negative,"@getonlinenow Its a story about how success as Street Sense columnist, which I helped create, returned him to alcohol & suicidal thoughts","@getonlinenow It's a narrative about how becoming successful as a Street Sense columnist, something I helped establish, led him back to alcohol and thoughts of suicide",0.12078357
4,No laughs.,Not funny.,negative,No laughs.,Not funny.,0.36729777
1,@ziamickal turn that frown upside down?  don't cry.,@ziamickal put a smile on your face! No need for tears.,negative,@ziamickal turn that frown upside down?  don't cry.,@ziamickal put a smile on your face! No need for tears.,0.32724094
1,http://twitpic.com/3k123 - Meg and me poolside at the Yacht Club! I love my life ,http://twitpic.com/3k123 - Meg and I lounging by the pool at the Yacht Club! Life is amazing,positive,http://twitpic.com/3k123 - Meg and me poolside at the Yacht Club! I love my life,http://twitpic.com/3k123 - Meg and I lounging by the pool at the Yacht Club! Life is amazing,0.11807579
1,"@tayne_gheel oh my god    i can't hear your voice, but now i am deathly afraid... even tho i am on one right now...","@tayne_gheel oh my god    I can't hear what you sound like, but now I'm absolutely terrified... despite currently being on one myself...",negative,"@tayne_gheel oh my god    i can't hear your voice, but now i am deathly afraid... even tho i am on one right now...","@tayne_gheel oh my god    I can't hear what you sound like, but now I'm absolutely terrified... despite currently being on one myself...",0.22520185
4,"In addition to scoring high for originality of plot -- putting together familiar themes of family, forgiveness and love in a new way -- Lilo & Stitch has a number of other assets to commend it to movie audiences both innocent and jaded.","Beyond earning top marks for its innovative storyline -- which weaves together well-known elements of family, redemption and affection in fresh ways -- Lilo & Stitch offers numerous additional strengths that appeal to viewers ranging from the wide-eyed to the world-weary.",positive,"In addition to scoring high for originality of plot -- putting together familiar themes of family, forgiveness and love in a new way -- Lilo & Stitch has a number of other assets to commend it to movie audiences both innocent and jaded.","Beyond earning top marks for its innovative storyline -- which weaves together well-known elements of family, redemption and affection in fresh ways -- Lilo & Stitch offers numerous additional strengths that appeal to viewers ranging from the wide-eyed to the world-weary.",0.16261542
1,@jesssicaraymond nope! heard nothing down her is Aus  what was it??,@jesssicaraymond No! Haven't heard anything here in Australia - what was it??,positive,@jesssicaraymond nope! heard nothing down her is Aus  what was it??,@jesssicaraymond No! Haven't heard anything here in Australia - what was it??,0.18477267
1,@metafisix oh hell na that was all me my iphone doesnt support gaysket ball or any other sports! So baxk to elite ,"@metafisix oh hell no, that was entirely my doing - my iPhone doesn't have basketball or any other sports apps! So back to Elite",positive,@metafisix oh hell na that was all me my iphone doesnt support gaysket ball or any other sports! So baxk to elite,"@metafisix oh hell no, that was entirely my doing - my iPhone doesn't have basketball or any other sports apps! So back to Elite",0.25135064
1,Paramore for sure brought it. I love them and this is why  @yelyahwilliams has the most beautiful voice.,Paramore absolutely delivered. I adore them and this is exactly why @yelyahwilliams possesses the most gorgeous voice.,positive,Paramore for sure brought it. I love them and this is why  @yelyahwilliams has the most beautiful voice.,Paramore absolutely delivered. I adore them and this is exactly why @yelyahwilliams possesses the most gorgeous voice.,0.11720067
1,@SusanPowter  Makes for great soft feet doesn't it! Feels great after being on them all day too! ,"@SusanPowter It's wonderful for smooth feet, isn't it? Such a relief after standing all day as well!",positive,@SusanPowter  Makes for great soft feet doesn't it! Feels great after being on them all day too!,"@SusanPowter It's wonderful for smooth feet, isn't it? Such a relief after standing all day as well!",0.2597822
1,"When tipsy, do not recline your seat all of a sudden ",Don't suddenly lean your seat back when you've been drinking,positive,"When tipsy, do not recline your seat all of a sudden",Don't suddenly lean your seat back when you've been drinking,0.3872912
1,@ribeaka lol.why don't you him what you really think ,"@ribeaka haha, why not just tell him how you actually feel",positive,@ribeaka lol.why don't you him what you really think,"@ribeaka haha, why not just tell him how you actually feel",0.25127316
1,Thats it goodnight all ,"That's all for now, goodnight everyone",positive,Thats it goodnight all,"That's all for now, goodnight everyone",0.20225042
1,ugh cant sleep ,I'm having such a hard time falling asleep,negative,ugh cant sleep,I'm having such a hard time falling asleep,0.51179576
1,@geunho hey hey welcome to twitter ,"Hey @geunho, welcome! Great to see you joining Twitter!",positive,@geunho hey hey welcome to twitter,"Hey @geunho, welcome! Great to see you joining Twitter!",0.20955086
1,it's time for a bike ride. let's go penguiners! ,"Time to hit the road on our bikes. Come on, penguiners!",positive,it's time for a bike ride. let's go penguiners!,"Time to hit the road on our bikes. Come on, penguiners!",0.12614918
1,just saw Star Trek. i really liked it! hot cast! ,Just watched Star Trek. I absolutely enjoyed it! Attractive actors!,positive,just saw Star Trek. i really liked it! hot cast!,Just watched Star Trek. I absolutely enjoyed it! Attractive actors!,0.12625289
1,"@qutequte you can add wings onto pics?  Cool!  Thanks.  I'm off to bed.  TTYS! Oh, let me know what you think of me Up review. Be honest! ","@qutequte you're able to put wings on photos? Awesome! Appreciate it. I'm heading to sleep now. Talk to you later! Oh, and please tell me your thoughts on my Up review. Don't hold back!",positive,"@qutequte you can add wings onto pics?  Cool!  Thanks.  I'm off to bed.  TTYS! Oh, let me know what you think of me Up review. Be honest!","@qutequte you're able to put wings on photos? Awesome! Appreciate it. I'm heading to sleep now. Talk to you later! Oh, and please tell me your thoughts on my Up review. Don't hold back!",0.13499117
1,"@leonkay Send us a Twitpic,cheers!!! ","@leonkay Share a Twitpic with us, thanks!!!",positive,"@leonkay Send us a Twitpic,cheers!!!","@leonkay Share a Twitpic with us, thanks!!!",0.13640857
1,"@DOCSTIMULAS.  more McCartney, for you, this morning.  hope your day is wonderful.   â« http://blip.fm/~7jtyv",@DOCSTIMULAS. Here's some additional McCartney to start your morning. Wishing you a fantastic day ahead. ♫ http://blip.fm/~7jtyv,positive,"@DOCSTIMULAS.  more McCartney, for you, this morning.  hope your day is wonderful.   ♫ http://blip.fm/~7jtyv",@DOCSTIMULAS. Here's some additional McCartney to start your morning. Wishing you a fantastic day ahead. ♫ http://blip.fm/~7jtyv,0.072989225
1,I need internet at home. ,I require home internet access.,negative,I need internet at home.,I require home internet access.,0.18016565
1,@Meshel_Laurie your dad is a superman for pulling through! Take it easy ,@Meshel_Laurie your father is incredible for making it through! Rest up,positive,@Meshel_Laurie your dad is a superman for pulling through! Take it easy,@Meshel_Laurie your father is incredible for making it through! Rest up,0.29032254
1,#flylady The lawnmother is back - yay! Need to go pick up kids from school - paper clutter when I return ,#flylady The lawnmother has returned - hooray! Time to collect the children from school - will tackle paper mess once I'm back,positive,#flylady The lawnmother is back - yay! Need to go pick up kids from school - paper clutter when I return,#flylady The lawnmother has returned - hooray! Time to collect the children from school - will tackle paper mess once I'm back,0.082799315
4,(P)artnering Murphy with Robert De Niro for the TV-cops comedy Showtime would seem to be surefire casting.,Pairing Murphy with Robert De Niro for the TV-cops comedy Showtime appears to be can't-miss casting.,positive,(P)artnering Murphy with Robert De Niro for the TV-cops comedy Showtime would seem to be surefire casting.,Pairing Murphy with Robert De Niro for the TV-cops comedy Showtime appears to be can't-miss casting.,0.18977273
1,Of course my luck they close down the freeway when I'm finally on my way home  stuck on the 5north. Don't get on it by stadium way ,"Naturally, just as I'm heading home, they shut down the highway and now I'm trapped on the 5 northbound. Avoid getting on near Stadium Way.",negative,Of course my luck they close down the freeway when I'm finally on my way home  stuck on the 5north. Don't get on it by stadium way,"Naturally, just as I'm heading home, they shut down the highway and now I'm trapped on the 5 northbound. Avoid getting on near Stadium Way.",0.18104589
1,I took in one too many horrible breaths of paint. Oh Jeez what a miserable night that was ,"I inhaled way too much toxic paint fumes. God, that was an absolutely dreadful night.",negative,I took in one too many horrible breaths of paint. Oh Jeez what a miserable night that was,"I inhaled way too much toxic paint fumes. God, that was an absolutely dreadful night.",0.25484657
1,"Headding out to my golf tournament wish me luck, it's a 3 hour drive... And I've still got this terrible cold ","Off to my golf tournament - fingers crossed for me, it's a 3-hour journey... And I'm still battling this awful cold",negative,"Headding out to my golf tournament wish me luck, it's a 3 hour drive... And I've still got this terrible cold","Off to my golf tournament - fingers crossed for me, it's a 3-hour journey... And I'm still battling this awful cold",0.14246249
1,feeling so badly homesick for some reason ,I'm experiencing an intense wave of homesickness out of nowhere,negative,feeling so badly homesick for some reason,I'm experiencing an intense wave of homesickness out of nowhere,0.19377667
1,going to work ,heading to the office,negative,going to work,heading to the office,0.46223396
1,"@AnnaLynneMc Can't wait to see you, I'm sure you will look fantabulous!! (Like always!)  ",@AnnaLynneMc I'm so excited to see you - you'll definitely look amazing as usual!,positive,"@AnnaLynneMc Can't wait to see you, I'm sure you will look fantabulous!! (Like always!)",@AnnaLynneMc I'm so excited to see you - you'll definitely look amazing as usual!,0.17073476
1,Just saw Pelham 123 good movie not great but good. I just love Denzel in every way possible  he makes me love acting even more than I do,"Just watched Pelham 123 - solid film, not amazing but definitely good. I absolutely adore Denzel in every aspect; he deepens my passion for acting beyond what I already feel.",positive,Just saw Pelham 123 good movie not great but good. I just love Denzel in every way possible  he makes me love acting even more than I do,"Just watched Pelham 123 - solid film, not amazing but definitely good. I absolutely adore Denzel in every aspect; he deepens my passion for acting beyond what I already feel.",0.055036485
1,Eating the last baby quiche ,Consuming the final miniature quiche,positive,Eating the last baby quiche,Consuming the final miniature quiche,0.22225642
1,@MISSCOKASPLASH You left me ,You abandoned me,negative,@MISSCOKASPLASH You left me,You abandoned me,0.6062833
4,...the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material.,...the overly sentimental manner in which the narrative develops indicates a filmmaker struggling to resist the temptation to dramatize his subject matter.,negative,...the maudlin way its story unfolds suggests a director fighting against the urge to sensationalize his material.,...the overly sentimental manner in which the narrative develops indicates a filmmaker struggling to resist the temptation to dramatize his subject matter.,0.39086467
1,"@alex Ah, I see ","@alex Oh, I understand now",positive,"@alex Ah, I see","@alex Oh, I understand now",0.1362871
1,Another rainy Sunday... so I'm watching Twilight!!!!!! ,It's raining again this Sunday... which means I'm watching Twilight!!!!!!,positive,Another rainy Sunday... so I'm watching Twilight!!!!!!,It's raining again this Sunday... which means I'm watching Twilight!!!!!!,0.07875556
1,@moon_ferret It was in your photo list. I love Pearls Before Swine. ,Your photo collection had it. I'm a big fan of Pearls Before Swine.,positive,@moon_ferret It was in your photo list. I love Pearls Before Swine.,Your photo collection had it. I'm a big fan of Pearls Before Swine.,0.15069127
1,@LBmatt and I was referring to my chicken wing weakness ,@LBmatt and I was talking about my inability to resist chicken wings,positive,@LBmatt and I was referring to my chicken wing weakness,@LBmatt and I was talking about my inability to resist chicken wings,0.16368651
1,@mewopvsammjm Thank you so much for following me. I appreciate it ,"Thank you so much for the follow, @mewopvsammjm. I really appreciate it!",positive,@mewopvsammjm Thank you so much for following me. I appreciate it,"Thank you so much for the follow, @mewopvsammjm. I really appreciate it!",0.15291989
1,"feel so spoiled today  nice shorts , two new t-shirts and more phone mins  also saw this hot guy today..mhmm ;)","feeling totally pampered today - got some cute shorts, two fresh tees and extra phone minutes, plus spotted this gorgeous guy today..yum ;)",positive,"feel so spoiled today  nice shorts , two new t-shirts and more phone mins  also saw this hot guy today..mhmm ;)","feeling totally pampered today - got some cute shorts, two fresh tees and extra phone minutes, plus spotted this gorgeous guy today..yum ;)",0.26205254
1,Awww... Titanic was on a while ago. I should've watched it.  I guess that's why Titanic is one of the trending topics right now. ,Ohh... Titanic was playing earlier. I really should have tuned in. That must be why Titanic is trending at the moment.,positive,Awww... Titanic was on a while ago. I should've watched it.  I guess that's why Titanic is one of the trending topics right now.,Ohh... Titanic was playing earlier. I really should have tuned in. That must be why Titanic is trending at the moment.,0.25236136
4,The problem with all of this: It's not really funny.,The issue here: It's just not that humorous.,negative,The problem with all of this: It's not really funny.,The issue here: It's just not that humorous.,0.30984068
1,@iamchrisc http://twitpic.com/5yce5 - We don't have Chickfil-A in California! ,@iamchrisc http://twitpic.com/5yce5 - There's no Chick-fil-A here in California!,negative,@iamchrisc http://twitpic.com/5yce5 - We don't have Chickfil-A in California!,@iamchrisc http://twitpic.com/5yce5 - There's no Chick-fil-A here in California!,0.061187267
1,"Soo soreee, ,  I need to stop neglecting after work out stretching ","I'm so sorry, I really need to stop skipping my post-workout stretches.",negative,"Soo soreee, ,  I need to stop neglecting after work out stretching","I'm so sorry, I really need to stop skipping my post-workout stretches.",0.23779356
1,"SF people!  bring your pink slip = get free jeans!  whata sweet deal!  Tues, 6/9 http://pinkslipmixers.com/calendar/event/2009/6/9/113544","San Francisco folks! Show your termination notice and receive complimentary denim! What an awesome offer! Tuesday, June 9th http://pinkslipmixers.com/calendar/event/2009/6/9/113544",positive,"SF people!  bring your pink slip = get free jeans!  whata sweet deal!  Tues, 6/9 http://pinkslipmixers.com/calendar/event/2009/6/9/113544","San Francisco folks! Show your termination notice and receive complimentary denim! What an awesome offer! Tuesday, June 9th http://pinkslipmixers.com/calendar/event/2009/6/9/113544",0.35878676
1,going out today. text me if you want. ,Heading out today. Message me if you'd like.,positive,going out today. text me if you want.,Heading out today. Message me if you'd like.,0.36977983
1,"Plans for today- eyebrow waxing, dance dress rehersal, shower, dance show, dinner, boyfriend.  good day!!!","Today's agenda includes getting my eyebrows waxed, attending dance dress rehearsal, taking a shower, performing in the dance show, having dinner, and spending time with my boyfriend. What a wonderful day ahead!!!",positive,"Plans for today- eyebrow waxing, dance dress rehersal, shower, dance show, dinner, boyfriend.  good day!!!","Today's agenda includes getting my eyebrows waxed, attending dance dress rehearsal, taking a shower, performing in the dance show, having dinner, and spending time with my boyfriend. What a wonderful day ahead!!!",0.19470298
1,@shaunjumpnow omg same. Cause my dad took mine ,"@shaunjumpnow Oh my god, me too. My dad confiscated mine as well.",negative,@shaunjumpnow omg same. Cause my dad took mine,"@shaunjumpnow Oh my god, me too. My dad confiscated mine as well.",0.34655392
4,I love the robust middle of this picture.,I adore the strong central portion of this image.,positive,I love the robust middle of this picture.,I adore the strong central portion of this image.,0.30619073
1,the summer is here!!!...*runs to window*...oh ,summer has arrived!!!...*rushes to the window*...oh,negative,the summer is here!!!...*runs to window*...oh,summer has arrived!!!...*rushes to the window*...oh,0.08986735
1,Huge party at my house tn... except .. that ... it's my parents throwing it. aw.......................... ,Big party happening at my place tonight... but... it's actually my parents who are hosting it. ugh...........................,negative,Huge party at my house tn... except .. that ... it's my parents throwing it. aw..........................,Big party happening at my place tonight... but... it's actually my parents who are hosting it. ugh...........................,0.21481717
1,Despite watching the most painful movie ever...I had a fun night with my sister ,Even though we watched the most agonizing film imaginable...I had a great time with my sister,positive,Despite watching the most painful movie ever...I had a fun night with my sister,Even though we watched the most agonizing film imaginable...I had a great time with my sister,0.31574684
1,"@YoungQ Bless you Rob! Enjoy Saratoga! It's my home venue and yet, can't be there. ","@YoungQ Thank you so much, Rob! Have a wonderful time at Saratoga! It's my local track, but unfortunately I won't be able to make it.",negative,"@YoungQ Bless you Rob! Enjoy Saratoga! It's my home venue and yet, can't be there.","@YoungQ Thank you so much, Rob! Have a wonderful time at Saratoga! It's my local track, but unfortunately I won't be able to make it.",0.27490342
1,rusyan?n eurovision sark?s?n?n mï¿½ptelas? oldum.tutmay?n beni izmire gidiyorum ,"I've become obsessed with Russia's Eurovision song. Don't stop me, I'm going to Izmir.",negative,rusyan?n eurovision sark?s?n?n m�ptelas? oldum.tutmay?n beni izmire gidiyorum,"I've become obsessed with Russia's Eurovision song. Don't stop me, I'm going to Izmir.",0.3998922
4,Very predictable but still entertaining,Quite formulaic yet nonetheless enjoyable,positive,Very predictable but still entertaining,Quite formulaic yet nonetheless enjoyable,0.6377419
4,"(Carvey's) characters are both overplayed and exaggerated, but then again, subtlety has never been his trademark.","Carvey's characters are overdone and blown out of proportion, though to be fair, subtlety has never been his strong suit.",negative,"(Carvey's) characters are both overplayed and exaggerated, but then again, subtlety has never been his trademark.","Carvey's characters are overdone and blown out of proportion, though to be fair, subtlety has never been his strong suit.",0.12733966
1,@andinarvaez @silviaO Did you see these? http://twitpic.com/6r333 http://twitpic.com/6sqzs http://twitpic.com/6spu5 I made them all ,@andinarvaez @silviaO Have you checked these out? http://twitpic.com/6r333 http://twitpic.com/6sqzs http://twitpic.com/6spu5 I created all of them,positive,@andinarvaez @silviaO Did you see these? http://twitpic.com/6r333 http://twitpic.com/6sqzs http://twitpic.com/6spu5 I made them all,@andinarvaez @silviaO Have you checked these out? http://twitpic.com/6r333 http://twitpic.com/6sqzs http://twitpic.com/6spu5 I created all of them,0.12707072
4,"Not even Solondz's thirst for controversy, sketchy characters and immature provocations can fully succeed at cheapening it.","Even Solondz's appetite for scandal, questionable characters and juvenile provocations cannot entirely diminish its value.",negative,"Not even Solondz's thirst for controversy, sketchy characters and immature provocations can fully succeed at cheapening it.","Even Solondz's appetite for scandal, questionable characters and juvenile provocations cannot entirely diminish its value.",0.29389703
1,Gone four oï¿½clock already &amp; pencil has yet to meet typo layout pad! Some exciting enquiries today delayed me; in a good way  #typography,"It's already past 4 PM and I haven't even started sketching on my typography layout pad! Got held up by some thrilling inquiries today, but I'm not complaining #typography",positive,Gone four o�clock already & pencil has yet to meet typo layout pad! Some exciting enquiries today delayed me; in a good way  #typography,"It's already past 4 PM and I haven't even started sketching on my typography layout pad! Got held up by some thrilling inquiries today, but I'm not complaining #typography",0.2995435
1,watching Shrek. i saw it and i decided to watch that one instead ,I'm viewing Shrek. I noticed it and chose to watch that one instead.,positive,watching Shrek. i saw it and i decided to watch that one instead,I'm viewing Shrek. I noticed it and chose to watch that one instead.,0.124578
